  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 8.25000E+02  vis= 2.10000E-01  sp_ht= 2.00000E+03
     prc(je)= 5000.000
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0002E+03    Prandtl number= 5000.000
   U,mean = 5.0920E+00            d,h = 5.0000E-02
   viscom = 2.1000E-01            rhom  = 8.2500E+02

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 1.199E-02 1.199E-02  8.239E+00 -8.239E+00
               y(i)           u(i)         f(1,i)         f(2,i)         f(3,i)
       1.836981E-02   5.952560E+00   3.000298E+02   0.000000E+00   0.000000E+00
       1.892298E-02   5.620124E+00   3.000744E+02   0.000000E+00   0.000000E+00
       1.943048E-02   5.288889E+00   3.001182E+02   0.000000E+00   0.000000E+00
       1.989608E-02   4.962878E+00   3.001606E+02   0.000000E+00   0.000000E+00
       2.032323E-02   4.645152E+00   3.002012E+02   0.000000E+00   0.000000E+00
       2.071512E-02   4.337974E+00   3.002400E+02   0.000000E+00   0.000000E+00
       2.107464E-02   4.042957E+00   3.002766E+02   0.000000E+00   0.000000E+00
       2.140449E-02   3.761187E+00   3.003110E+02   0.000000E+00   0.000000E+00
       2.170709E-02   3.493328E+00   3.003433E+02   0.000000E+00   0.000000E+00
       2.198472E-02   3.239713E+00   3.003734E+02   0.000000E+00   0.000000E+00
       2.223942E-02   3.000412E+00   3.004015E+02   0.000000E+00   0.000000E+00
       2.247309E-02   2.775293E+00   3.004276E+02   0.000000E+00   0.000000E+00
       2.268746E-02   2.564068E+00   3.004517E+02   0.000000E+00   0.000000E+00
       2.288414E-02   2.366332E+00   3.004741E+02   0.000000E+00   0.000000E+00
       2.306457E-02   2.181598E+00   3.004948E+02   0.000000E+00   0.000000E+00
       2.323011E-02   2.009318E+00   3.005138E+02   0.000000E+00   0.000000E+00
       2.338198E-02   1.848908E+00   3.005314E+02   0.000000E+00   0.000000E+00
       2.352131E-02   1.699760E+00   3.005476E+02   0.000000E+00   0.000000E+00
       2.364914E-02   1.561258E+00   3.005626E+02   0.000000E+00   0.000000E+00
       2.376641E-02   1.432788E+00   3.005763E+02   0.000000E+00   0.000000E+00
       2.387400E-02   1.313743E+00   3.005889E+02   0.000000E+00   0.000000E+00
