  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17700E+00  vis= 1.83800E-05  sp_ht= 1.00500E+03
     prc(je)=     .707
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 2.100E+01 1.050E-02 2.590E+00 2.588E+01  9.316E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    49 3.645E-05 7.955E-01 1.598E-01 5.303E-02 4.694E-02  0.000E+00
    50 3.979E-05 8.682E-01 1.744E-01 5.788E-02 5.123E-02  0.000E+00
    51 4.342E-05 9.475E-01 1.903E-01 6.317E-02 5.591E-02  0.000E+00
    52 4.738E-05 1.034E+00 2.077E-01 6.893E-02 6.101E-02  0.000E+00
    53 5.170E-05 1.128E+00 2.266E-01 7.521E-02 6.656E-02  0.000E+00
    54 5.641E-05 1.231E+00 2.472E-01 8.205E-02 7.262E-02  0.000E+00
    55 6.154E-05 1.343E+00 2.697E-01 8.951E-02 7.922E-02  0.000E+00
    56 6.713E-05 1.465E+00 2.942E-01 9.764E-02 8.642E-02  0.000E+00
    57 7.322E-05 1.598E+00 3.209E-01 1.065E-01 9.426E-02  0.000E+00
    58 7.987E-05 1.742E+00 3.501E-01 1.162E-01 1.028E-01  0.000E+00
    59 8.711E-05 1.900E+00 3.818E-01 1.267E-01 1.121E-01  0.000E+00
    60 9.500E-05 2.072E+00 4.164E-01 1.381E-01 1.223E-01  0.000E+00
    61 1.036E-04 2.259E+00 4.541E-01 1.506E-01 1.333E-01  0.000E+00
    62 1.130E-04 2.463E+00 4.952E-01 1.642E-01 1.454E-01  0.000E+00
    63 1.232E-04 2.686E+00 5.400E-01 1.790E-01 1.585E-01  0.000E+00
    64 1.343E-04 2.927E+00 5.888E-01 1.952E-01 1.728E-01  0.000E+00
    65 1.465E-04 3.191E+00 6.420E-01 2.127E-01 1.884E-01  0.000E+00
    66 1.597E-04 3.477E+00 7.000E-01 2.318E-01 2.053E-01  0.000E+00
    67 1.741E-04 3.788E+00 7.632E-01 2.526E-01 2.237E-01  0.000E+00
    68 1.899E-04 4.127E+00 8.321E-01 2.751E-01 2.438E-01  0.000E+00
    69 2.070E-04 4.494E+00 9.072E-01 2.996E-01 2.655E-01  0.000E+00
    70 2.257E-04 4.892E+00 9.891E-01 3.261E-01 2.892E-01  0.000E+00
    71 2.460E-04 5.322E+00 1.078E+00 3.548E-01 3.148E-01  0.000E+00
    72 2.682E-04 5.787E+00 1.175E+00 3.858E-01 3.426E-01  0.000E+00
    73 2.923E-04 6.288E+00 1.281E+00 4.192E-01 3.726E-01  0.000E+00
    74 3.186E-04 6.826E+00 1.397E+00 4.550E-01 4.049E-01  0.000E+00
    75 3.473E-04 7.400E+00 1.522E+00 4.933E-01 4.396E-01  0.000E+00
    76 3.785E-04 8.010E+00 1.659E+00 5.340E-01 4.768E-01  0.000E+00
    77 4.125E-04 8.653E+00 1.808E+00 5.768E-01 5.163E-01  0.000E+00
    78 4.487E-04 9.309E+00 1.967E+00 6.206E-01 5.572E-01  0.000E+00
    79 4.856E-04 9.947E+00 2.129E+00 6.631E-01 5.975E-01  0.000E+00
    80 5.225E-04 1.055E+01 2.290E+00 7.031E-01 6.360E-01  0.000E+00
    81 5.593E-04 1.111E+01 2.451E+00 7.404E-01 6.727E-01  0.000E+00
    82 5.960E-04 1.162E+01 2.612E+00 7.748E-01 7.073E-01  0.000E+00
    83 6.326E-04 1.209E+01 2.773E+00 8.063E-01 7.398E-01  0.000E+00
    84 6.692E-04 1.252E+01 2.933E+00 8.348E-01 7.701E-01  0.000E+00
    85 7.056E-04 1.290E+01 3.093E+00 8.603E-01 7.981E-01  0.000E+00
    86 7.419E-04 1.324E+01 3.252E+00 8.830E-01 8.238E-01  0.000E+00
    87 7.782E-04 1.354E+01 3.411E+00 9.029E-01 8.471E-01  0.000E+00
