  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 6.00000E-01  vis= 1.30000E-05  sp_ht= 2.00300E+03
     prc(je)=    1.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 1.783E+01 1.237E-02 2.590E+00 1.784E+01  1.237E-02

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    97 2.072E-04 1.494E+01 5.343E+00 9.957E-01 9.957E-01  0.000E+00
    98 2.139E-04 1.495E+01 5.515E+00 9.970E-01 9.970E-01  0.000E+00
    99 2.205E-04 1.497E+01 5.687E+00 9.979E-01 9.979E-01  0.000E+00
   100 2.272E-04 1.498E+01 5.859E+00 9.986E-01 9.986E-01  0.000E+00
   101 2.339E-04 1.499E+01 6.031E+00 9.990E-01 9.990E-01  0.000E+00
   102 2.405E-04 1.499E+01 6.203E+00 9.994E-01 9.993E-01  0.000E+00
   103 2.472E-04 1.499E+01 6.375E+00 9.996E-01 9.996E-01  0.000E+00
   104 2.539E-04 1.500E+01 6.547E+00 9.997E-01 9.997E-01  0.000E+00
   105 2.605E-04 1.500E+01 6.719E+00 9.998E-01 9.998E-01  0.000E+00
   106 2.672E-04 1.500E+01 6.890E+00 9.999E-01 9.999E-01  0.000E+00
   107 2.739E-04 1.500E+01 7.062E+00 9.999E-01 9.999E-01  0.000E+00
   108 2.805E-04 1.500E+01 7.234E+00 1.000E+00 9.999E-01  0.000E+00
   109 2.872E-04 1.500E+01 7.406E+00 1.000E+00 1.000E+00  0.000E+00
   110 2.939E-04 1.500E+01 7.578E+00 1.000E+00 1.000E+00  0.000E+00
   111 3.005E-04 1.500E+01 7.750E+00 1.000E+00 1.000E+00  0.000E+00
   112 3.072E-04 1.500E+01 7.922E+00 1.000E+00 1.000E+00  0.000E+00
   113 3.139E-04 1.500E+01 8.094E+00 1.000E+00 1.000E+00  0.000E+00
   114 3.205E-04 1.500E+01 8.266E+00 1.000E+00 1.000E+00  0.000E+00
   115 3.272E-04 1.500E+01 8.438E+00 1.000E+00 1.000E+00  0.000E+00
   116 3.339E-04 1.500E+01 8.610E+00 1.000E+00 1.000E+00  0.000E+00
   117 3.405E-04 1.500E+01 8.782E+00 1.000E+00 1.000E+00  0.000E+00
   118 3.472E-04 1.500E+01 8.954E+00 1.000E+00 1.000E+00  0.000E+00
   119 3.539E-04 1.500E+01 9.126E+00 1.000E+00 1.000E+00  0.000E+00
   120 3.605E-04 1.500E+01 9.298E+00 1.000E+00 1.000E+00  0.000E+00
   121 3.672E-04 1.500E+01 9.469E+00 1.000E+00 1.000E+00  0.000E+00
   122 3.739E-04 1.500E+01 9.641E+00 1.000E+00 1.000E+00  0.000E+00
   123 3.805E-04 1.500E+01 9.813E+00 1.000E+00 1.000E+00  0.000E+00
   124 3.872E-04 1.500E+01 9.985E+00 1.000E+00 1.000E+00  0.000E+00
   125 3.939E-04 1.500E+01 1.016E+01 1.000E+00 1.000E+00  0.000E+00
   126 4.005E-04 1.500E+01 1.033E+01 1.000E+00 1.000E+00  0.000E+00
   127 4.089E-04 1.500E+01 1.054E+01 1.000E+00 1.000E+00  0.000E+00
   128 4.139E-04 1.500E+01 1.067E+01 1.000E+00 1.000E+00  0.000E+00

  intg x         rem       cf2       h12       reh        st
   687 5.000E-02 1.236E+02 1.784E-03 2.590E+00 1.236E+02  1.784E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
     1 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00  0.000E+00
     2 4.424E-08 8.196E-04 1.646E-04 5.464E-05 5.464E-05  0.000E+00
     3 1.211E-07 2.243E-03 4.506E-04 1.496E-04 1.496E-04  0.000E+00
     4 1.893E-07 3.506E-03 7.043E-04 2.337E-04 2.337E-04  0.000E+00
     5 2.636E-07 4.883E-03 9.807E-04 3.255E-04 3.255E-04  0.000E+00
     6 3.446E-07 6.383E-03 1.282E-03 4.255E-04 4.255E-04  0.000E+00
     7 4.328E-07 8.019E-03 1.611E-03 5.346E-04 5.346E-04  0.000E+00
     8 5.291E-07 9.801E-03 1.969E-03 6.534E-04 6.534E-04  0.000E+00
     9 6.339E-07 1.174E-02 2.359E-03 7.829E-04 7.829E-04  0.000E+00
    10 7.483E-07 1.386E-02 2.784E-03 9.241E-04 9.241E-04  0.000E+00
    11 8.729E-07 1.617E-02 3.248E-03 1.078E-03 1.078E-03  0.000E+00
