  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95710E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 9.277E+01 2.377E-03 2.590E+00 3.151E+01  4.144E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    41 3.725E-06 3.591E-01 7.211E-02 2.394E-02 4.161E-02  0.000E+00
    42 4.071E-06 3.925E-01 7.881E-02 2.617E-02 4.548E-02  0.000E+00
    43 4.448E-06 4.289E-01 8.612E-02 2.859E-02 4.969E-02  0.000E+00
    44 4.860E-06 4.686E-01 9.408E-02 3.124E-02 5.429E-02  0.000E+00
    45 5.308E-06 5.118E-01 1.028E-01 3.412E-02 5.930E-02  0.000E+00
    46 5.797E-06 5.589E-01 1.122E-01 3.726E-02 6.476E-02  0.000E+00
    47 6.329E-06 6.103E-01 1.225E-01 4.069E-02 7.071E-02  0.000E+00
    48 6.910E-06 6.663E-01 1.338E-01 4.442E-02 7.719E-02  0.000E+00
    49 7.543E-06 7.273E-01 1.460E-01 4.849E-02 8.426E-02  0.000E+00
    50 8.233E-06 7.938E-01 1.594E-01 5.292E-02 9.196E-02  0.000E+00
    51 8.985E-06 8.663E-01 1.739E-01 5.775E-02 1.004E-01  0.000E+00
    52 9.804E-06 9.453E-01 1.898E-01 6.302E-02 1.095E-01  0.000E+00
    53 1.070E-05 1.031E+00 2.071E-01 6.876E-02 1.195E-01  0.000E+00
    54 1.167E-05 1.125E+00 2.260E-01 7.502E-02 1.303E-01  0.000E+00
    55 1.273E-05 1.228E+00 2.465E-01 8.184E-02 1.422E-01  0.000E+00
    56 1.389E-05 1.339E+00 2.689E-01 8.928E-02 1.551E-01  0.000E+00
    57 1.515E-05 1.461E+00 2.933E-01 9.738E-02 1.691E-01  0.000E+00
    58 1.653E-05 1.593E+00 3.199E-01 1.062E-01 1.844E-01  0.000E+00
    59 1.802E-05 1.737E+00 3.489E-01 1.158E-01 2.011E-01  0.000E+00
    60 1.966E-05 1.895E+00 3.805E-01 1.263E-01 2.192E-01  0.000E+00
    61 2.144E-05 2.066E+00 4.150E-01 1.377E-01 2.389E-01  0.000E+00
    62 2.338E-05 2.253E+00 4.525E-01 1.502E-01 2.603E-01  0.000E+00
    63 2.549E-05 2.456E+00 4.935E-01 1.637E-01 2.836E-01  0.000E+00
    64 2.779E-05 2.677E+00 5.381E-01 1.785E-01 3.089E-01  0.000E+00
    65 3.031E-05 2.918E+00 5.867E-01 1.945E-01 3.362E-01  0.000E+00
    66 3.304E-05 3.180E+00 6.397E-01 2.120E-01 3.658E-01  0.000E+00
    67 3.603E-05 3.466E+00 6.974E-01 2.310E-01 3.978E-01  0.000E+00
    68 3.928E-05 3.776E+00 7.604E-01 2.517E-01 4.322E-01  0.000E+00
    69 4.282E-05 4.113E+00 8.289E-01 2.742E-01 4.691E-01  0.000E+00
    70 4.668E-05 4.478E+00 9.036E-01 2.985E-01 5.085E-01  0.000E+00
    71 5.088E-05 4.874E+00 9.850E-01 3.249E-01 5.503E-01  0.000E+00
    72 5.546E-05 5.302E+00 1.074E+00 3.535E-01 5.943E-01  0.000E+00
    73 6.045E-05 5.765E+00 1.170E+00 3.843E-01 6.401E-01  0.000E+00
    74 6.587E-05 6.262E+00 1.275E+00 4.175E-01 6.872E-01  0.000E+00
    75 7.178E-05 6.796E+00 1.390E+00 4.531E-01 7.348E-01  0.000E+00
