   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2140.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
       17500  7.0230323E-02  2.6566E+04  1.5000E+01  1.0550E-03
       17550  7.0540191E-02  2.6554E+04  1.5000E+01  1.0545E-03
       17600  7.0850989E-02  2.6542E+04  1.5000E+01  1.0540E-03
       17650  7.1162721E-02  2.6530E+04  1.5000E+01  1.0535E-03
       17700  7.1475389E-02  2.6519E+04  1.5000E+01  1.0531E-03
       17750  7.1788995E-02  2.6507E+04  1.5000E+01  1.0526E-03
       17800  7.2103543E-02  2.6495E+04  1.5000E+01  1.0521E-03
       17850  7.2419035E-02  2.6483E+04  1.5000E+01  1.0517E-03
       17900  7.2735474E-02  2.6472E+04  1.5000E+01  1.0512E-03
       17950  7.3052862E-02  2.6460E+04  1.5000E+01  1.0507E-03
       18000  7.3371202E-02  2.6449E+04  1.5000E+01  1.0503E-03
       18050  7.3690497E-02  2.6437E+04  1.5000E+01  1.0498E-03
       18100  7.4010750E-02  2.6426E+04  1.5000E+01  1.0494E-03
       18150  7.4331963E-02  2.6414E+04  1.5000E+01  1.0489E-03
       18200  7.4654139E-02  2.6403E+04  1.5000E+01  1.0485E-03
       18250  7.4977280E-02  2.6392E+04  1.5000E+01  1.0480E-03
       18300  7.5301391E-02  2.6380E+04  1.5000E+01  1.0476E-03
       18350  7.5626472E-02  2.6369E+04  1.5000E+01  1.0471E-03
